Datos provenientes de SR865 
F,X,Y,R,T,
+2.630000e+05,+2.467949e-01,-4.308882e-01,+4.965605e-01,-6.019771e+01,
+2.640000e+05,+2.454214e-01,-4.300929e-01,+4.951884e-01,-6.028988e+01,
+2.650000e+05,+2.440308e-01,-4.292522e-01,+4.937696e-01,-6.038167e+01,
+2.660000e+05,+2.426790e-01,-4.284541e-01,+4.924084e-01,-6.047251e+01,
+2.670000e+05,+2.413083e-01,-4.276104e-01,+4.909993e-01,-6.056318e+01,
+2.680000e+05,+2.399734e-01,-4.268113e-01,+4.896479e-01,-6.065326e+01,
+2.690000e+05,+2.386154e-01,-4.259517e-01,+4.882337e-01,-6.074273e+01,
+2.700000e+05,+2.373688e-01,-4.252736e-01,+4.870335e-01,-6.083169e+01,
+2.710000e+05,+2.360495e-01,-4.244477e-01,+4.856699e-01,-6.092010e+01,
+2.720000e+05,+2.347198e-01,-4.235883e-01,+4.842731e-01,-6.100817e+01,
+2.730000e+05,+2.334488e-01,-4.228173e-01,+4.829833e-01,-6.109573e+01,
+2.740000e+05,+2.321527e-01,-4.219852e-01,+4.816289e-01,-6.118286e+01,
+2.750000e+05,+2.308563e-01,-4.211350e-01,+4.802596e-01,-6.126947e+01,
+2.760000e+05,+2.296063e-01,-4.203537e-01,+4.789743e-01,-6.135567e+01,
+2.770000e+05,+2.283206e-01,-4.194897e-01,+4.776001e-01,-6.144135e+01,
+2.780000e+05,+2.270726e-01,-4.186788e-01,+4.762919e-01,-6.152658e+01,
+2.790000e+05,+2.258869e-01,-4.179627e-01,+4.750976e-01,-6.161110e+01,
+2.800000e+05,+2.246649e-01,-4.171705e-01,+4.738201e-01,-6.169556e+01,
+2.810000e+05,+2.234406e-01,-4.163540e-01,+4.725213e-01,-6.177931e+01,
+2.820000e+05,+2.222240e-01,-4.155383e-01,+4.712278e-01,-6.186275e+01,
+2.830000e+05,+2.210046e-01,-4.147010e-01,+4.699148e-01,-6.194571e+01,
+2.840000e+05,+2.198271e-01,-4.139278e-01,+4.686792e-01,-6.202829e+01,
+2.850000e+05,+2.186067e-01,-4.130588e-01,+4.673398e-01,-6.211047e+01,
+2.860000e+05,+2.174482e-01,-4.122840e-01,+4.661135e-01,-6.219178e+01,
+2.870000e+05,+2.162756e-01,-4.114737e-01,+4.648502e-01,-6.227304e+01,
+2.880000e+05,+2.151412e-01,-4.107215e-01,+4.636571e-01,-6.235387e+01,
+2.890000e+05,+2.139993e-01,-4.099391e-01,+4.624346e-01,-6.243422e+01,
+2.900000e+05,+2.128721e-01,-4.091657e-01,+4.612277e-01,-6.251389e+01,
+2.910000e+05,+2.117292e-01,-4.083526e-01,+4.599794e-01,-6.259344e+01,
+2.920000e+05,+2.105995e-01,-4.075510e-01,+4.587483e-01,-6.267262e+01,
+2.930000e+05,+2.094779e-01,-4.067486e-01,+4.575209e-01,-6.275126e+01,
+2.940000e+05,+2.083640e-01,-4.059463e-01,+4.562981e-01,-6.282949e+01,
+2.950000e+05,+2.072623e-01,-4.051534e-01,+4.550901e-01,-6.290730e+01,
+2.960000e+05,+2.062151e-01,-4.044532e-01,+4.539901e-01,-6.298471e+01,
+2.970000e+05,+2.051096e-01,-4.036264e-01,+4.527518e-01,-6.306182e+01,
+2.980000e+05,+2.040353e-01,-4.028445e-01,+4.515685e-01,-6.313840e+01,
+2.990000e+05,+2.029659e-01,-4.020569e-01,+4.503831e-01,-6.321449e+01,
+3.000000e+05,+2.018922e-01,-4.012488e-01,+4.491782e-01,-6.329030e+01,
+3.010000e+05,+2.008489e-01,-4.004873e-01,+4.480294e-01,-6.336572e+01,
+3.020000e+05,+1.998007e-01,-3.997002e-01,+4.468563e-01,-6.344061e+01,
+3.030000e+05,+1.987497e-01,-3.988925e-01,+4.456643e-01,-6.351504e+01,
+3.040000e+05,+1.977115e-01,-3.981020e-01,+4.444941e-01,-6.358938e+01,
+3.050000e+05,+1.967339e-01,-3.974200e-01,+4.434488e-01,-6.366331e+01,
+3.060000e+05,+1.957100e-01,-3.966304e-01,+4.422873e-01,-6.373680e+01,
+3.070000e+05,+1.947056e-01,-3.958645e-01,+4.411564e-01,-6.380977e+01,
+3.080000e+05,+1.936877e-01,-3.950598e-01,+4.399854e-01,-6.388246e+01,
+3.090000e+05,+1.926901e-01,-3.942864e-01,+4.388522e-01,-6.395497e+01,
+3.100000e+05,+1.917153e-01,-3.935432e-01,+4.377568e-01,-6.402689e+01,
