Barrido en f -> f_inicial:1000, f_final:500000, step: 1000
Parametros -> N:32, Modo:1,	Fuente:1
Formato -> f,x,y,r,phi
233999.937500,25940357.051207,-47763137.531822,0.414691,-61.495246
234999.953125,25768014.827333,-47675521.042616,0.413477,-61.611157
235999.968750,25591714.454277,-47417648.190265,0.411107,-61.645698
236999.984375,25453369.354074,-47367335.868148,0.410268,-61.749961
237999.937500,25304067.052827,-47285938.610863,0.409183,-61.849306
238999.953125,25129085.855863,-47063661.942494,0.407058,-61.902365
239999.968750,24987763.914479,-47021119.312828,0.406264,-62.014948
240999.984375,24810883.930723,-46814397.852410,0.404238,-62.078955
242000.000000,24678714.118759,-46787222.186838,0.403584,-62.191668
242999.937500,24532617.663629,-46603166.341686,0.401822,-62.238832
243999.953125,24380694.671494,-46437741.721037,0.400165,-62.301513
244999.968750,24226672.795559,-46416442.437979,0.399476,-62.439912
245999.984375,24086638.000769,-46238825.810915,0.397781,-62.486023
246999.937500,23907280.488426,-46071862.513889,0.396019,-62.576468
247999.953125,23789623.085271,-46092314.444961,0.395745,-62.702236
248999.968750,23631699.939300,-45949684.154864,0.394226,-62.785312
249999.984375,23493649.568750,-45771173.314844,0.392533,-62.831111
250999.921875,23341843.598431,-45645842.193725,0.391154,-62.918086
251999.937500,23198617.050394,-45514783.989764,0.389767,-62.994187
252999.968750,23105253.234968,-45574813.745253,0.389852,-63.118031
253999.984375,22943433.361905,-45300101.356349,0.387424,-63.140723
255000.000000,22815285.023904,-45212130.833466,0.386384,-63.225097
255999.937500,22690292.518400,-45130734.116800,0.385401,-63.310077
256999.953125,22560453.784739,-45036869.952610,0.384316,-63.394069
257999.968750,22438853.856452,-44973879.081452,0.383471,-63.485850
258999.984375,22329782.276923,-44892491.846964,0.382545,-63.555860
259999.937500,22158256.426483,-44650593.974005,0.380309,-63.608559
260999.953125,22010553.064437,-44582294.158238,0.379343,-63.726042
261999.968750,21918285.054054,-44500822.952498,0.378474,-63.779946
262999.968750,21807908.325658,-44437461.002467,0.377668,-63.862155
264000.000000,21649157.740099,-44218293.541254,0.375634,-63.915639
264999.937500,21521010.503311,-44016850.870861,0.373823,-63.946645
265999.968750,21385309.856193,-44009712.108063,0.373321,-64.085730
266999.968750,21274560.055046,-43775510.195997,0.371344,-64.082496
268000.000000,21152033.184255,-43793465.061977,0.371060,-64.221575
268999.937500,21065233.594617,-43801970.706476,0.370831,-64.318076
269999.937500,20926292.073418,-43614799.855696,0.369085,-64.370302
270999.968750,20825331.895004,-43454418.758679,0.367648,-64.396041
272000.000000,20694230.764656,-43291731.203059,0.366097,-64.453257
272999.937500,20608231.103242,-43284115.843857,0.365762,-64.542068
273999.937500,20450309.798801,-43145471.943493,0.364289,-64.641653
274999.968750,20351709.118557,-42955332.134021,0.362656,-64.650887
275999.968750,20274688.899051,-43020412.421053,0.362854,-64.768314
277000.000000,20149338.502165,-42843561.974892,0.361226,-64.814298
277999.937500,20011739.421007,-42527622.169271,0.358598,-64.802176
278999.968750,19919053.172624,-42632930.639058,0.359025,-64.958889
279999.968750,19815371.725284,-42491879.709536,0.357716,-65.000718
281000.000000,19728260.028120,-42553829.641476,0.357864,-65.129144
281999.937500,19617398.841410,-42222492.906608,0.355215,-65.081414
282999.937500,19463468.806366,-42150232.667551,0.354221,-65.216121
283999.968750,19392724.468500,-42037667.741792,0.353215,-65.237207
284999.968750,19300279.570410,-42160458.970588,0.353772,-65.404497
286000.000000,19175168.966935,-41876905.806077,0.351407,-65.399186
286999.937500,19087712.246637,-41794849.592825,0.350560,-65.455745
287999.968750,18970956.310531,-41703543.417642,0.349557,-65.541128
288999.968750,18873858.381210,-41648684.088528,0.348870,-65.623414
290000.000000,18745216.288949,-41410940.659420,0.346812,-65.647415
290999.937500,18654180.346364,-41311417.742727,0.345834,-65.700371
291999.937500,18567794.448905,-41267294.242701,0.345257,-65.777067
292999.968750,18484146.603480,-41262629.827839,0.344963,-65.871311
294000.000000,18393292.561581,-41202339.188419,0.344260,-65.945301
294999.937500,18254738.531797,-40958801.490323,0.342132,-65.980112
295999.937500,18196120.299722,-40947604.247919,0.341872,-66.042748
296999.968750,18112913.598886,-40907100.881151,0.341333,-66.119066
297999.968750,18023198.311277,-40851275.560112,0.340666,-66.195332
299000.000000,17857906.690943,-40440048.422969,0.337287,-66.176195
299999.937500,17795015.259606,-40380379.760075,0.336677,-66.219600
300999.968750,17702100.400753,-40403805.253057,0.336555,-66.342311
301999.968750,17607052.991501,-40410348.386213,0.336310,-66.458888
303000.000000,17515662.424242,-40192815.675189,0.334510,-66.454827
303999.937500,17417059.755935,-40023630.772080,0.333026,-66.484759
304999.937500,17347721.615825,-40056866.118208,0.333048,-66.585620
305999.968750,17272161.650096,-39841756.628107,0.331313,-66.564311
306999.968750,17225130.955854,-39930868.721689,0.331795,-66.667864
308000.000000,17130750.305101,-39719129.154957,0.330026,-66.671564
308999.937500,17027790.913127,-39568180.646718,0.328658,-66.717800
309999.968750,16931333.742248,-39587828.972868,0.328505,-66.846042
310999.968750,16854789.191448,-39473736.683188,0.327475,-66.880100
312000.000000,16782048.377561,-39525031.612683,0.327618,-66.996243
312999.937500,16692838.311828,-39085227.075269,0.324264,-66.875217
313999.937500,16611009.694799,-39175120.822375,0.324651,-67.024092
314999.968750,16525827.135827,-39047517.077756,0.323501,-67.062754
316000.000000,16409820.867589,-39121711.887352,0.323679,-67.246098
316999.937500,16335364.867195,-38975171.623389,0.322428,-67.262338
317999.937500,16266384.700099,-38632285.807349,0.319812,-67.168126
318999.968750,16155966.352941,-38724507.352941,0.320136,-67.355961
319999.968750,16107630.784000,-38615244.408000,0.319224,-67.359437
321000.000000,16032858.586760,-38514708.097292,0.318297,-67.401058
321999.937500,15983467.376636,-38632123.534743,0.318980,-67.525392
322999.968750,15863454.957619,-38315166.587286,0.316395,-67.511190
323999.968750,15799640.412955,-38194833.602227,0.315361,-67.529113
325000.000000,15723654.588832,-38101847.546193,0.314484,-67.577310
325999.937500,15652055.795107,-38222618.623853,0.315128,-67.733035
326999.937500,15584409.842536,-38139731.671779,0.314347,-67.776410
327999.968750,15470126.779713,-37829140.756148,0.311824,-67.760021
328999.968750,15433979.470709,-37742762.963001,0.311110,-67.761092
330000.000000,15342909.670103,-37633896.173196,0.310078,-67.821839
330999.937500,15253504.340228,-37586320.246122,0.309485,-67.913412
331999.968750,15221205.420124,-37514565.160788,0.308885,-67.917581
332999.968750,15141844.392300,-37469792.291363,0.308341,-67.997976
